DOI,Materials-1,Materials-2,Materials-note,Electrolyte,Voltage window (V),Specific surface area (m2/g),Capacitance (F/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig ,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %)
10.1038/srep31555,N-doped graphene,,,koh,1,190.38,290,0.88,4.01,,,1,3.2,11.3,,,,
10.1038/srep31555,N-doped graphene,,,koh,1,171.56,270,0.68,3.95,,,0.5,2.9,6.4,,,,
10.1007/s10853-015-9660-2,CNT,,,koh,0.8,150,11,0.417,1,,,,0,0,,,,
10.1007/s10853-015-9660-2,CNT,,,koh,,223,21,0.422,1,,,,0,0,,,,
10.1007/s10853-015-9660-2,CNT,,,koh,,251,26,0.486,1,,,,0,0,,,,
10.1007/s10853-015-9660-2,CNT,,,koh,,296,4,0.805,1,,,,0,0,,,,
10.1002/smll.201600974,CNT,,0,,,,,,,,,,0,5.5,,,,
10.1002/smll.201600974,CNT,,1,,,,,,,,,,0,9.8,,,,
10.1002/smll.201600974,CNT,,4,,,,,,,,,,1,13.5,,,,
10.1002/smll.201600974,CNT,,2,,,,,,,,,,5.4,13.1,,,,
10.1021/acsami.6b02404,N-doped porous carbon,,N-HMCS-2,h2so4,0.8,2359,240,2.23,2.7,,,,1.9,11.9,,,,
10.1021/acsami.6b02404,N-doped porous carbon,,YSHMCNs-2,h2so4,0.8,1061,169,2.04,4.2,,,,1.9,17.5,,,,
10.1039/c5ta10170k,B-doped carbon,,BC-MS-700-14,h2so4,1,1460,160,1.7678,,0.428,,0.96,0,,,,,
10.1002/chem.201602922,N-doped porous carbon,,,koh,1,1415,289,1.4,3.96,,1040,0.88,3.47,12.7,,,,
10.1002/chem.201602922,N-doped porous carbon,,,koh,1,170,96,0.2,8.37,,108,0.8,,,,,,
10.1002/chem.201602922,N-doped porous carbon,,,koh,1,306,137,0.31,5.5,,173,0.76,,,,,,
10.1002/chem.201602922,N-doped porous carbon,,,koh,1,654,243,0.49,4.38,,293,0.67,5.89,8.63,,,,
10.1039/c5ra22527b,CNT,,,lipf6,3,214.3,32,1.28,,0.08,,1.2,0,0.3,,,,
10.1039/c5ra22527b,CNT,,,lipf6,3,627.8,,1.36,,0.23,,1.47,0,5.5,,,,
10.1039/c5ra22527b,CNT,,,lipf6,3,661.5,,1.58,,0.23,,1.47,0,5.5,,,,
10.1039/c5ra22527b,CNT,,,lipf6,3,1123.2,145,2.38,,0.4,,1.47,0,5.5,,,,
10.1039/c6ta08868f,porous carbon,,,emimbf4,3.5,3550,150,1.78,,,1349,,,,,,,
10.1039/c6ta08868f,AC,,,emimbf4,3.5,1740,62,0.6,,,1548.6,,,,,,,
10.1039/c6ta08868f,porous carbon,,,lipf6 EC/DMC,3,3550,216,1.78,,,1349,,,,,,,
10.1039/c6nr02155g,carbon nanosheet,,,koh,1,773,142,0.68,0.5,,462,2.95,0,3.6,,,,
10.1039/c6nr02155g,carbon nanosheet,,,koh,1,1766,220,1.45,0.5,,573,2.5,0,3.6,,,,
10.1039/c6nr02155g,carbon nanosheet,,,koh,1,910,160,0.88,0.6,,558,2.9,0,,,,,
10.1039/c6ra13689c,NOP-doped porous carbon,,,koh,0.9,2335,315,1.32,2.6,0.95,,1,1.1,11,,,,1.6
10.1021/acsami.6b10893,AC,,,koh,1,2033,374,0.98,2,0.72,1530,0.99,0.8,5.6,,,,
10.1021/acsami.6b10893,AC,,,koh,1,2312,355,1.2,2.15,0.68,1743,0.98,1.4,4.5,,,,
10.1021/acsami.6b10893,AC,,,koh,1,1742,266,0.79,1.81,0.45,1196,0.88,1,6.3,,,,
10.1021/acsami.6b10893,AC,,,koh,1,2345,203,1.03,1.78,0.86,2102,,,,,,,
10.1021/acsami.6b10893,AC,,,koh,1,182,134,0.1,2.29,0.05,116,,,,,,,
10.1021/acs.iecr.5b00601,porous carbon,,,koh,1,1634.5,204.4,3.67,1.58,,,2.72,0,,,,,
10.1021/acs.iecr.5b00601,porous carbon,,,koh,1,1972.1,236.5,4.78,1.65,,,2.55,0,,,,,
10.1021/acs.iecr.5b00601,porous carbon,,,koh,1,1918.5,209.2,2.89,1.66,,,2.42,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-6,koh,0.9,524,,0.31,0.6,0.25,,0.8,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-7,koh,0.9,637,,0.37,0.6,0.31,,0.82,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-8,koh,0.9,803,,0.46,0.6,0.38,,0.84,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-9,koh,0.9,1007,147.2,0.62,0.6,0.46,,0.85,0,7.3,,,,
10.1039/c5ra07807e,porous carbon,,hpc-10,koh,0.9,966,,0.57,0.6,0.43,,0.85,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-9d,koh,0.9,1549,175.2,0.81,0.6,0.61,,0.86,0,8.5,,,,
10.1039/c5ra07807e,porous carbon,,MPC-9,koh,0.9,648,174.4,0.33,0.6,0.33,,0.83,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-6,teabf4 AN,2.7,524,,0.31,0.6,0.25,,0.8,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-7,teabf4 AN,2.7,637,,0.37,0.6,0.31,,0.82,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-8,teabf4 AN,2.7,803,,0.46,0.6,0.38,,0.84,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-9,teabf4 AN,2.7,1007,38,0.62,0.6,0.46,,0.85,0,7.3,,,,
10.1039/c5ra07807e,porous carbon,,hpc-10,teabf4 AN,2.7,966,,0.57,0.6,0.43,,0.85,0,,,,,
10.1039/c5ra07807e,porous carbon,,hpc-9d,teabf4 AN,2.7,1549,115,0.81,0.6,0.61,,0.86,0,8.5,,,,
10.1039/c5ra07807e,porous carbon,,MPC-9,teabf4 AN,2.7,648,1.9,0.33,0.6,0.33,,0.83,0,,,,,
10.1039/c5ra16104e,N-doped porous carbon,,n-hpc,lipf6 EC/DMC,2.7,1290,101,3.04,0.7,0.3,400,,3.6,,,,,
10.1039/c5ra16104e,N-doped porous carbon,,hpc,lipf6 EC/DMC,2.7,1222,108,2.76,0.7,0.28,382,,,,,,,
10.1039/c5ra16104e,N-doped porous carbon,,yp-17d,lipf6 EC/DMC,2.7,1487,90,0.74,1,0.56,1356,,,,,,,
10.1039/c5ra11179j,porous carbon,,,koh,1,1169.5,,0.71,2.41,,,,,,,,,
10.1039/c5ra11179j,porous carbon,,,koh,1,2121.9,,1.21,2.28,,,,,,,,,
10.1039/c5ra11179j,porous carbon,,,koh,1,2548.6,239,1.54,2.42,,,0.96,0,,,,,
10.1039/c5ra11179j,porous carbon,,,koh,1,1793.5,,1.06,2.36,,,,,,,,,
10.1007/s10800-015-0850-z,porous carbon,,600-2,koh,1,449,185,0.54,4.77,0.11,,,,,,,,
10.1007/s10800-015-0850-z,porous carbon,,700-2,koh,1,600,193,0.63,4.2,0.18,,,,,,,,
10.1007/s10800-015-0850-z,porous carbon,,800-2,koh,1,1018,233,1.07,4.18,0.27,,,,,,,,
10.1007/s10800-015-0850-z,porous carbon,,900-2,koh,1,1066,168,1.48,5.57,0.11,,,,,,,,
10.1007/s10800-015-0850-z,porous carbon,,800-1.5,koh,1,866,189,0.83,3.81,0.21,,,,,,,,
10.1007/s10800-015-0850-z,porous carbon,,800-2.5,koh,1,1456,245,1.35,3.7,0.38,,1.02,,,,,,
10.1007/s10800-015-0850-z,porous carbon,,800-3,koh,1,971,236,0.99,4.07,0.26,,,,,,,,
10.1039/c5ra05688h,porous carbon,,,koh,0.9,943,232,0.44,1.9,,,1.15,2.06,23.32,,,,
10.1039/c5ra05688h,porous carbon,,,koh,0.9,1177,267,0.55,1.89,,,1.27,1.88,21.89,,,,
10.1039/c5ra05688h,porous carbon,,,koh,0.9,1733,304,0.86,1.97,,,1.38,1.64,18.98,,,,
10.1039/c5ra05688h,porous carbon,,,koh,0.9,1841,187,1.05,2.25,,,1.78,1.39,17.14,,,,
10.1039/c5ra05688h,porous carbon,,,koh,0.9,1554,204,0.94,2.36,,,2.35,1.09,15.24,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,341,41,0.53,,0.05,,,,,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,960,,0.76,,0.34,,,,,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,1028,,1,,0.34,,,,,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,982,,0.6,,0.39,,,,,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,618,,0.75,,0.16,,,,,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,634,,0.75,,0.16,,,,,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,1247,,1.19,,0.42,,,,,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,1124,,1.1,,0.35,,,,,,,,
10.1039/c4ta00778f,porous carbon,,,h2so4,0.9,1757,,1.64,,0.52,,,,,,,,
10.1039/c4ra06724j,porous carbon,,,h2so4,1,1161.6,257,2.78,21,0.25,,,0,,,,,
10.1039/c4ra06724j,AC,,,h2so5,1,851,120,0.55,2,0.37,,,,,,,,
10.1039/c4ta01215a,N-doped carbon,,,koh,1,139,,,4.3,,,0.57,11.3,,,,,
10.1039/c4ta01215a,N-doped carbon,,,koh,1,1299,491,,,,,0.89,4.8,,,,,
10.1039/c4ta01215a,N-doped carbon,,,koh,1,2090,525,,,,,0.9,4.1,,,,,
10.1039/c3nr00738c,porous carbon,,,BMINBF6,4,3023,213,2.18,1.2,,,,0,,,,,
10.1039/c3nr00738c,porous carbon,,,BMINBF6,4,408,,0.37,,,,,,,,,,
10.1039/c3ta10660h,carbon fiber,,,,,1050,,1.015,,0.118,,,,,,,,
10.1039/c3ta10660h,carbon fiber,,,,,529,,0.296,,0.195,,,,,,,,
10.1039/c3ta10660h,carbon fiber,,,,,1218,276,1.075,,0.698,,,,,,,,
10.1039/c3ta10660h,carbon fiber,,,,,1144,,0.666,,0.551,,,,,,,,
